Organiser,Organisation Addresses,Boroughs,Latitude,Longitude,Telephone Number,Type,Scheme Title,Website organiser,Scheme URL,Content,Business Issues,Categories,Funding Amounts,Funding Types,Permalink,Themes,Bio-technology,Business and Financial Services,Construction,Creative,Digital and IT,Health and Social Care,Hospitality,Life sciences,Medical,Retail and Wholesale,Science and Technology,Tourism and Leisure,Urban,Pre-Start ,Early Stage,Growth ,Mature,Micro,Small,Medium,Large
Greater London Authority,"City Hall, More London Riverside, London SE1 2AA, UK",Southwark,51.504851,-0.078693,+44 20 7983 4000,Public Sector,ERDF Technical Assitance,https://www.london.gov.uk/,,"The project will support the Greater London Authority (GLA) as an Intermediate Body for the ERDF 2014-20 programme.
It will enable the European Programmes Management Unit (EPMU) at the GLA to implement and manage ERDF, on behalf of the Managing Authority, the Department for Communities & Local Government.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Greater London Authority,"City Hall, More London Riverside, London SE1 2AA, UK",Southwark,51.504851,-0.078693,+44 20 7983 4000,Public Sector,London Homes Energy Efficiency Programme,https://www.london.gov.uk/,https://www.london.gov.uk/decisions/md2235-energy-londoners-homes-energy-efficiency-programme,"The project seeks to build on the success of the award winning RE:NEW domestic housing energy efficiency retrofit programme.
It comprises intensive end-to-end advice and support for social housing associations and boroughs in London, provided by a specialist technical support team, to enable energy efficiency retrofit projects to be designed, developed and successfully delivered.
It will deliver carbon savings and the next generation of energy efficiency retrofit approaches.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Greater London Authority,"City Hall, More London Riverside, London SE1 2AA, UK",Southwark,51.504851,-0.078693,+44 20 7983 4000,Public Sector,Decentralised Energy Enabling Project,https://www.london.gov.uk/,https://www.london.gov.uk/sites/default/files/deep_framework_-_information_on_lots_for_website_0.pdf,"The project provides public sector intervention to help realise larger-scale decentralised energy (DE) projects in London that the market is failing to deliver.
It will procure and direct technical, commercial, financial support to help SMEs bring into operation schemes that deliver significant CO2 reductions at marketcompetitive prices.
The project will deliver capital investment, create jobs and reduce carbon emissions.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Greater London Authority,"City Hall, More London Riverside, London SE1 2AA, UK",Southwark,51.504851,-0.078693,+44 20 7983 4000,Public Sector,Better Futures,https://www.london.gov.uk/,https://www.london.gov.uk/what-we-do/environment/better-futures/about-better-futures,"The project will provide managed co-working space and innovation support to improve the success rate and speed of new low-carbon enterprises in London seeking to achieve growth.
It will bring technical and business expertise to help low-carbon enterprises to optimise prototypes for the market and develop their business for growth investment. It will deliver CO2 reductions and job growth.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Greater London Authority,"City Hall, More London Riverside, London SE1 2AA, UK",Southwark,51.504851,-0.078693,+44 20 7983 4000,Public Sector,Re:Fit,https://www.london.gov.uk/,https://www.london.gov.uk/what-we-do/environment/energy/energy-buildings/refit/what-refit-london,"This non-domestic public buildings project comprises: end to end support for public sector organisations (PSOs) to enable retrofit projects to be identified and successfully implemented; and a framework of approved suppliers from which PSOs can appoint an organisation to deliver retrofit projects.
The project will generate and accelerate retrofit activity, thereby achieving significant reductions in energy demand and carbon emissions, generating cost savings to the public sector and improving London’s infrastructure.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Greentech Access to Innovation (A2i),"6  Edward Road, Mirfield, West Yorkshire, England, WF14 9AY",Kirklees,53.679489,-1.703129,Number not found,Education Institution,Greentech Access to Innovation (A2i),https://www.greena2i.com/,https://www.greena2i.com/,"Greentech Access to Innovation (A2i) is a free programme designed to help business start ups and small and medium-sized firms develop innovative ideas into new low carbon products and services.

A2i combines the academic knowledge within London South Bank University with the real-world experience of industry partners. As a result, it is able to deliver a comprehensive level of knowledge to participants via workshops and consultancy.

This project is co-funded by the European Regional Development Fund.
",Business growth|Business start up|Innovation and development,Advice and Guidance|Consultancy|Starting your business|Accessing new business,,,https://www.growthhub.london/scheme/greentech-access-to-innovation-a2i/,,,,,,,,,,,,,,,x,x,x,,x,x,x,
Greenwich Co-operative Development Agency,"Greenwich Centre Business Park, 53 Norman Rd, Greenwich, London SE10 9QF, UK",Greenwich,51.478544,-0.016853,+44 20 8269 4880,Education Institution,Greenwich Co-operative Development Agency,https://gcda.coop/about-the-gcda,https://gcda.coop/about-the-gcda/,"The Greenwich Co-operative Development Agency supports communities to be healthy and sustainable. As part of this work, it develops enterprises, which meet economic and social needs, and that are co-operatively managed. Development support includes training courses that build the knowledge and skills of the local community and partners.
",Business planning|Business start up|Social enterprise,Advice and Guidance|Starting your business,,,https://www.growthhub.london/scheme/greenwich-co-operative-development-agency/,Starting your business,,,,,,,,,,,,,,x,x,,,x,x,,
Growth Capital Ventures,"38 Jermyn St, St. James's, London SW1Y 6DN, UK",Westminster,51.508327,-0.137417,Number not found,Investor/ Funding Org,Capital to Grow,http://www.growthcapitalventures.co.uk/,http://www.growthcapitalventures.co.uk/,"Growth Capital Ventures provides equity and loans for start ups and SMEs with high growth potential. Finance packages of between Â£50,000 and Â£5 million are available. In addition, equity and loans are available for real estate and clean energy projects with the potential to deliver sustainable growth.
",Business growth|Business start up|Raising finance,Financing your business|Starting your business,"Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000|Â£500,000+",Equity|Loan,https://www.growthhub.london/scheme/capital-to-grow/,Financing your business,,,x,,,,,,,,x,,,x,x,x,x,x,x,x,
Growth Street,"Irongate House, 22-30 Dukes Pl, London EC3A 7LP, UK",City of London,51.51436,-0.077704,Number not found,Investor/ Funding Org,Unlock cash tied in unpaid invoices,https://www.growthstreet.co.uk/,https://www.growthstreet.co.uk/growthline,"Growth Street's GrowthLine is a revolving credit facility that lets a  business unlock cash tied up in their unpaid invoices, stock and/or work in progress. The businesses have access to a line of credit that works much like an overdraft",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
GrowthFunders,"113  Manchester Road, Chorlton, Manchester, United Kingdom, M21 9PG",Manchester,53.447455,-2.277528,Number not found,Investor/ Funding Org,GrowthFunders Business Finance,http://www.growthfunders.com,http://www.growthfunders.com/raise,"GrowthFunders helps small firms with investment by coordinating debt and equity-based fundraising requirements. In addition, GrowthFunders can provide all the support start ups and business owners need to get their project investment-ready, including marketing and networking.
",Business growth|Business start up|Raising finance,Financing your business|Starting your business,,Equity|Loan,https://www.growthhub.london/scheme/raising-finance/,Financing your business,x,,x,,,,,,,,x,,,x,x,x,,,x,x,x
Gust,address not found,No borough found on the website,No latitude found,No longitude found,Number not found,Investor/ Funding Org,Gust Startup Network,https://gust.com/,https://gust.com/,"Gust has 650,000 founders and 80,000 investment professionals on their platform.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
HCD,address not found,No borough found on the website,No latitude found,No longitude found,Number not found,BID,Hackney Co-operative Developments,http://www.hcd.coop,,"Hackney Co-operative Developments (HCD) is a local community economic development agency that aims to empower the people of Hackney to change their lives for the better. HCD supports the growth of co-operatives and social enterprises through its Pioneering Social Enterprise in Hackney Programme. It supports a wide range of SMEs through the provision of affordable workspace and incubation services.
",Business growth|Business start up|Social enterprise|Workspace and premises,Advice and Guidance|Premises and open workspace,,,https://www.growthhub.london/scheme/hackney-co-operative-developments/,Starting your business|Premises and open workspace|Managing your business,,,,,,,,,,,,,,x,x,x,x,x,x,x,
HMRC,"8 Goddard Place, London, United Kingdom, N19 5GS",Islington,51.560489,-0.134446,Number not found,Public Sector,Government R&D Tax Relief,https://www.gov.uk/topic/business-tax,https://www.gov.uk/guidance/corporation-tax-research-and-development-tax-relief-for-small-and-medium-sized-enterprises#rd-tax-credits,"The UK Government provides a number of tax incentives to companies involved in research and development (R&amp;D) activities.

Since April 2015, the tax relief on allowable R&amp;D costs is 230%. This means that for every Â£100 of qualifying R&amp;D costs, your company could reduce your corporation tax by an additional Â£130 on top of the Â£100 the spent.

If your company makes a loss, you can opt to receive R&amp;D tax credits instead of carrying forward a loss. Tax credits take the form of a cash sum paid to you by HMRC.

",Innovation and development|R&amp;D,Financing your business|Managing your business,,,https://www.growthhub.london/scheme/government-rd-tax-relief/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
HSBC,"Export House Minerva Business Park, Lynch Wood, Peterborough, PE2 6FT",Huntingdonshire,52.551846,-0.32548,Number not found,Investor/ Funding Org,HSBC Flexible Business Loan,https://www.hsbc.uk/,https://www.business.hsbc.uk/en-gb/finance-and-borrowing/credit-and-lending/flexible-business-loan,"HSBC Flexible Business Loan is suitable for limited companies, sole traders and partnership businesses borrowing over £25,000.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
HSBC,"Export House Minerva Business Park, Lynch Wood, Peterborough, PE2 6FT",Huntingdonshire,52.551846,-0.32548,Number not found,Investor/ Funding Org,HSBC Startup Business Bank Account,https://www.hsbc.uk/,https://www.business.hsbc.uk/en-gb/everyday-banking/business-accounts/start-up-business-bank-account,"Start your business with HSBC, you’ll receive free banking for the first 18 months.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
HSBC,"Export House Minerva Business Park, Lynch Wood, Peterborough, PE2 6FT",Huntingdonshire,52.551846,-0.32548,Number not found,Investor/ Funding Org,HSBC Small Business Loan,https://www.hsbc.uk/,https://www.business.hsbc.uk/en-gb/finance-and-borrowing/credit-and-lending/small-business-loan,"Small Business Loans available from between £1,000 and £25,000. 7.4% APR Representative.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
HSBC Innovation Investments,address not found,No borough found on the website,No latitude found,No longitude found,Number not found,Investor/ Funding Org,Corporate Venture Capital,https://www.ventures.hsbc.com/,https://www.ventures.hsbc.com/,Strategic Innovation Investments (SII) makes venture-like minority investments in Series C+ funding rounds.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,
Hammersmith BID,"The Indigo Group Limited, Stapeley House, London Road, Nantwich, England, CW5 7JW",Cheshire East,53.051015,-2.492656,Number not found,BID,Hammersmith BID,http://hammersmithlondonbid.co.uk/,http://hammersmithlondonbid.co.uk/,"Hammersmith BID is a not-for-profit company dedicated to growing the local economy. It provides new and expanded services within the BID area, as identified by the local businesses to improve the working and trading environment.

",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/hammersmithlondon-bid/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hampstead Village Business Improvement District,"Unit 4 Rowan Court, 56 High Street Wimbledon, London, SW19 5EE",Merton,51.425516,-0.218616,Number not found,BID,Hampstead Village Business Improvement District,http://www.hampsteadvillagelondon.com/bid/,http://www.hampsteadvillagelondon.com/bid/,"Hampstead Business Improvement District (BID) is dedicated to growing the local economy and making Hampstead an even better place to live, run a business, visit and work in. It will invest around Â£1.2 million in projects that benefit local businesses and enhance the general trading environment.

",Business growth|Business planning,Advice and Guidance,,,https://www.growthhub.london/scheme/hampstead-village-business-improvement-district/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
